,median_abs_coef,median_perm_importance,presence_freq,coef_nonzero_given_present,pi_nonzero_freq,consensus_rank
core__t1ce__wavelet-LHH_firstorder_Kurtosis,0.08144234417278648,0.0015998121510121402,1.0,0.9,0.7,283.0
core__flair__wavelet-LLH_glcm_Imc2,0.11308871409684629,0.000393573585303052,1.0,0.8,0.5,290.0
core__t1__wavelet-LHL_ngtdm_Contrast,0.10499797242797729,0.00041663614272793967,1.0,1.0,0.7,292.0
core__t1ce__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.07803898617170467,0.001206729634498077,1.0,1.0,0.6,293.0
core__t2__original_shape_Sphericity,0.1087224851611848,0.00016819344829067885,1.0,1.0,0.7,299.0
core__t1ce__wavelet-LHL_ngtdm_Strength,0.13242073509334795,5.551115123125783e-17,1.0,0.8,0.4,302.5
core__t1ce__wavelet-LLH_glszm_SmallAreaEmphasis,0.1323162243315129,5.551115123125783e-17,1.0,0.8,0.4,303.5
core__flair__wavelet-LLL_glszm_ZoneEntropy,0.0824212779456737,0.0006399437501756239,1.0,0.8,0.5,306.0
core__t1ce__wavelet-LLH_ngtdm_Contrast,0.12958597690941176,5.551115123125783e-17,1.0,0.7,0.4,306.5
core__flair__wavelet-HLL_glcm_Imc2,0.09434115045300215,9.887673686939213e-05,1.0,0.9,0.5,311.0
core__t2__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.06556329430506533,0.0009333835635061513,1.0,0.8,0.7,312.0
core__t2__wavelet-LHL_glcm_MCC,0.0671240412544646,0.0009043429783059643,1.0,0.6,0.5,312.0
core__flair__wavelet-LHL_gldm_DependenceVariance,0.07945292771335992,0.0001736904644404172,1.0,0.7,0.5,321.0
core__t1__wavelet-HHH_glcm_ClusterShade,0.09448062094917051,5.551115123125783e-17,1.0,0.8,0.4,324.5
core__t2__wavelet-HLL_ngtdm_Complexity,0.07321025251161783,0.0001887781170028524,0.4,1.0,0.5,326.0
core__flair__wavelet-LHH_firstorder_Skewness,0.07979638308193289,5.126447705677051e-05,1.0,0.7,0.5,327.0
core__t1ce__wavelet-LHH_glcm_Imc2,0.050805374763798726,0.000837484678588466,0.5,0.8,0.6,328.0
core__t1ce__wavelet-HLH_firstorder_Kurtosis,0.059934221322417894,0.00026099330854109035,0.6,0.8333333333333334,0.6666666666666666,336.0
core__flair__wavelet-LLL_glcm_ClusterShade,0.058561471449138536,0.00019504083561953323,1.0,0.8,0.5,338.0
core__t1ce__original_gldm_DependenceNonUniformityNormalized,0.0679021390040384,1.1102230246251565e-16,0.3,0.6666666666666666,0.3333333333333333,340.5
core__flair__wavelet-LLL_ngtdm_Contrast,0.06504443821135933,3.1577037018825084e-05,1.0,0.9,0.5,343.0
core__t2__wavelet-LLH_glszm_ZoneEntropy,0.07446682020462048,5.551115123125783e-17,1.0,0.7,0.4,343.5
